"issn","avgJSD","database","competitor","journal"
"0022-3514",0.356092248421008,"SOCSCI","No","J PERS SOC PSYCHOL"
"0022-3808",0.324574761151507,"SOCSCI","No","J POLIT ECON"
"0022-3956",0.364776283436938,"SOCSCI","No","J PSYCHIATR RES"
"0022-3999",0.376720681999868,"SOCSCI","No","J PSYCHOSOM RES"
"0022-4405",0.338056117043212,"SOCSCI","No","J SCHOOL PSYCHOL"
"0025-7079",0.36369768069345,"SOCSCI","No","MED CARE"
"0027-8424",0.419493316694618,"SCI","No","P NATL ACAD SCI USA"
"0027-8874",0.406481515704479,"SCI","No","JNCI-J NATL CANCER I"
"0028-0836",0.319423367890853,"SCI","No","NATURE"
"0028-3878",0.333174585890024,"SCI","No","NEUROLOGY"
"0028-3932",0.409287446054218,"SOCSCI","Yes","NEUROPSYCHOLOGIA"
"0028-4793",0.319833072783012,"SCI","No","NEW ENGL J MED"
"0031-5826",0.340608803283864,"SOCSCI","No","PERS PSYCHOL"
"0031-6997",0.461159728801219,"SCI","No","PHARMACOL REV"
"0031-9007",0.100281920649599,"SCI","No",NA
"0031-9333",0.361250070330606,"SCI","No","PHYSIOL REV"
"0031-9384",0.353149232298143,"SOCSCI","No","PHYSIOL BEHAV"
"0033-2747",0.364350349272987,"SOCSCI","No","PSYCHIATRY"
"0033-2909",0.411368750063827,"SOCSCI","Yes","PSYCHOL BULL"
"0033-2917",0.344398967643809,"SOCSCI","No","PSYCHOL MED"
"0033-295X",0.37952420152733,"SOCSCI","Yes","PSYCHOL REV"
"0033-3174",0.356794844160192,"SOCSCI","No","PSYCHOSOM MED"
"0033-3190",0.375141071337814,"SOCSCI","No","PSYCHOTHER PSYCHOSOM"
"0033-3204",0.366497310213348,"SOCSCI","No","PSYCHOTHERAPY"
"0033-5533",0.294293810671651,"SOCSCI","No","Q J ECON"
"0033-5770",0.443890153037465,"SCI","No","Q REV BIOL"
"0033-5835",0.361544251056318,"SCI","No","Q REV BIOPHYS"
"0034-4885",0.281135484300417,"SCI","No","REP PROG PHYS"
"0034-6527",0.341345525211198,"SOCSCI","No","REV ECON STUD"
"0034-6543",0.323493058811702,"SOCSCI","No","REV EDUC RES"
"0034-6861",0.302104003361017,"SCI","No","REV MOD PHYS"
"0036-8075",0.396279566480455,"SCI","No","SCIENCE"
"0040-6376",0.340112409720887,"SCI","No","THORAX"
"0041-9907",0.371597023242463,"SOCSCI","No","U PENN LAW REV"
"0046-1520",0.283782504357551,"SOCSCI","No","EDUC PSYCHOL-US"
"0047-2484",0.326116289521444,"SOCSCI","No","J HUM EVOL"
"0047-2506",0.378930222464772,"SOCSCI","No","J INT BUS STUD"
"0047-2891",0.355936123158995,"SOCSCI","No","J YOUTH ADOLESCENCE"
"0048-5772",0.314085630783963,"SOCSCI","No","PSYCHOPHYSIOLOGY"
"0048-7333",0.326915402235675,"SOCSCI","No","RES POLICY"
"0066-4146",0.232952215516659,"SCI","No","ANNU REV ASTRON ASTR"
"0066-4154",0.35050180160451,"SCI","No","ANNU REV BIOCHEM"
"0066-4170",0.403567153197232,"SCI","No","ANNU REV ENTOMOL"
"0066-4189",0.360954673660463,"SCI","No","ANNU REV FLUID MECH"
"0066-4197",0.355704729687853,"SCI","No","ANNU REV GENET"
"0066-4219",0.331976919443268,"SCI","No","ANNU REV MED"
"0066-4227",0.359017674738171,"SCI","No","ANNU REV MICROBIOL"
"0066-426X",0.328429900107528,"SCI","No","ANNU REV PHYS CHEM"
"0066-4278",0.320688715143468,"SCI","No","ANNU REV PHYSIOL"
"0066-4286",0.370530306859477,"SCI","No","ANNU REV PHYTOPATHOL"
"0066-4308",0.357162295902945,"SOCSCI","Yes","ANNU REV PSYCHOL"
"0067-0049",0.309480442051359,"SCI","No","ASTROPHYS J SUPPL S"
"0079-6425",0.345664368055234,"SCI","No","PROG MATER SCI"
"0079-6700",0.386729267686913,"SCI","No","PROG POLYM SCI"
"0079-7421",0.297597881217894,"SOCSCI","No","PSYCHOL LEARN MOTIV"
"0084-6597",0.362329873914408,"SCI","No","ANNU REV EARTH PL SC"
"0085-2538",0.371025715118177,"SCI","No","KIDNEY INT"
"0090-0036",0.379463383223996,"SOCSCI","No","AM J PUBLIC HEALTH"
"0091-0627",0.353329820647007,"SOCSCI","No","J ABNORM CHILD PSYCH"
"0091-3022",0.354366587208946,"SCI","No","FRONT NEUROENDOCRIN"
"0091-6749",0.319190343988569,"SCI","No","J ALLERGY CLIN IMMUN"
"0092-5853",0.375564331182165,"SOCSCI","No","AM J POLIT SCI"
"0092-8674",0.444127706690999,"SCI","No","CELL"
"0093-5301",0.32980450315677,"SOCSCI","No","J CONSUM RES"
"0093-934X",0.340240278300053,"SOCSCI","No","BRAIN LANG"
"0096-3445",0.379940587586818,"SOCSCI","No","J EXP PSYCHOL GEN"
"0098-2997",0.340347799265558,"SCI","No","MOL ASPECTS MED"
"0098-7484",0.273148190672244,"SCI","No","JAMA-J AM MED ASSOC"
"0105-2896",0.356785582860041,"SCI","No","IMMUNOL REV"
"0140-525X",0.327121453347904,"SOCSCI","Yes","BEHAV BRAIN SCI"
"0140-6736",0.388875266204286,"SCI","No","LANCET"
"0142-9612",0.455898667588423,"SCI","No","BIOMATERIALS"
"0143-005X",0.384517618560237,"SOCSCI","No","J EPIDEMIOL COMMUN H"
"0143-2095",0.325648264179584,"SOCSCI","No","STRATEGIC MANAGE J"
"0143-6228",0.377082341547298,"SOCSCI","No","APPL GEOGR"
"0146-8693",0.355810289303629,"SOCSCI","No","J PEDIATR PSYCHOL"
"0147-006X",0.365717981482491,"SCI","Yes","ANNU REV NEUROSCI"
"0149-2063",0.327681506170618,"SOCSCI","No","J MANAGE"
"0149-5992",0.355548319060343,"SCI","No","DIABETES CARE"
"0149-7634",0.393934477620015,"SCI","Yes","NEUROSCI BIOBEHAV R"
"0160-2896",0.419587302972705,"SOCSCI","No","INTELLIGENCE"
"0160-6689",0.326223009318739,"SOCSCI","No","J CLIN PSYCHIAT"
"0162-3257",0.387514276586473,"SOCSCI","No","J AUTISM DEV DISORD"
"0163-7258",0.394318320801695,"SCI","No","PHARMACOL THERAPEUT"
"0163-7525",0.412340614374831,"SOCSCI","No","ANNU REV PUBL HEALTH"
"0163-769X",0.362491858937073,"SCI","No","ENDOCR REV"
"0163-7827",0.389113134573854,"SCI","No","PROG LIPID RES"
"0163-8343",0.412398277810952,"SOCSCI","No","GEN HOSP PSYCHIAT"
"0165-0173",0.381407544311574,"SCI","No","BRAIN RES REV"
"0165-0327",0.349344453435634,"SOCSCI","No","J AFFECT DISORDERS"
"0165-4101",0.239516004707718,"SOCSCI","No","J ACCOUNT ECON"
"0165-6147",0.390021761519369,"SCI","No","TRENDS PHARMACOL SCI"
"0166-2236",0.370986407629433,"SCI","Yes","TRENDS NEUROSCI"
"0166-4972",0.348930902449707,"SOCSCI","No","TECHNOVATION"
"0167-5729",0.315921694714056,"SCI","No","SURF SCI REP"
"0167-7659",0.417901412265365,"SCI","No","CANCER METAST REV"
"0167-7799",0.385226436964449,"SCI","No","TRENDS BIOTECHNOL"
"0168-3659",0.436640978496649,"SCI","No","J CONTROL RELEASE"
"0168-6445",0.386246874317815,"SCI","No","FEMS MICROBIOL REV"
"0168-8278",0.293664092017015,"SCI","No","J HEPATOL"
"0168-9525",0.382113091661592,"SCI","No","TRENDS GENET"
"0169-409X",0.380556281545471,"SCI","No","ADV DRUG DELIVER REV"
"0169-5347",0.427936108618075,"SCI","No","TRENDS ECOL EVOL"
"0191-2615",0.368092115180955,"SOCSCI","No","TRANSPORT RES B-METH"
"0193-936X",0.404760397261511,"SCI","No","EPIDEMIOL REV"
"0193-953X",0.321170548165418,"SOCSCI","No","PSYCHIAT CLIN N AM"
"0195-668X",0.243439978387206,"SCI","No","EUR HEART J"
"0198-6325",0.379331507373838,"SCI","No","MED RES REV"
"0199-9885",0.321722244867941,"SCI","No","ANNU REV NUTR"
"0261-4189",0.434471882661903,"SCI","No","EMBO J"
"0261-5177",0.390877907136983,"SOCSCI","No","TOURISM MANAGE"
"0265-0568",0.381437560897122,"SCI","No","NAT PROD REP"
"0268-1080",0.350003011588544,"SOCSCI","No","HEALTH POLICY PLANN"
"0270-9139",0.306415169784348,"SCI","No","HEPATOLOGY"
"0272-6963",0.347033580333139,"SOCSCI","No","J OPER MANAG"
"0272-7358",0.386128550493853,"SOCSCI","No","CLIN PSYCHOL REV"
"0272-8087",0.281929986143991,"SCI","No","SEMIN LIVER DIS"
"0273-2297",0.3410108996064,"SOCSCI","No","DEV REV"
"0276-3478",0.323912669937962,"SOCSCI","No","INT J EAT DISORDER"
"0276-7783",0.385825893353057,"SOCSCI","No","MIS QUART"
"0277-7037",0.353381571802844,"SCI","No","MASS SPECTROM REV"
"0277-9536",0.358918546542811,"SOCSCI","No","SOC SCI MED"
"0278-2626",0.359129155613453,"SOCSCI","Yes","BRAIN COGNITION"
"0278-2715",0.304661057992392,"SOCSCI","No","HEALTH AFFAIR"
"0278-6133",0.422448726063165,"SOCSCI","No","HEALTH PSYCHOL"
"0278-7393",0.326431556670692,"SOCSCI","No","J EXP PSYCHOL LEARN"
"0301-0082",0.419513426943888,"SCI","No","PROG NEUROBIOL"
"0301-0511",0.365610339318659,"SOCSCI","No","BIOL PSYCHOL"
"0301-4215",0.361195868505109,"SOCSCI","No","ENERG POLICY"
"0302-2838",0.336805807880704,"SCI","No","EUR UROL"
"0304-405X",0.276189875482271,"SOCSCI","No","J FINANC ECON"
"0304-419X",0.38528859132099,"SCI","No","BBA-REV CANCER"
"0305-0483",0.377329707167555,"SOCSCI","No","OMEGA-INT J MANAGE S"
"0305-1048",0.392598980509916,"SCI","No","NUCLEIC ACIDS RES"
"0306-0012",0.348254081675423,"SCI","No","CHEM SOC REV"
"0340-1022",0.331766795262709,"SCI","No","TOP CURR CHEM"
"0355-3140",0.400320033401718,"SOCSCI","No","SCAND J WORK ENV HEA"
"0360-0572",0.398597382326439,"SOCSCI","No","ANNU REV SOCIOL"
"0360-1285",0.314528107604443,"SCI","No","PROG ENERG COMBUST"
"0360-1315",0.283939643778434,"SOCSCI","No","COMPUT EDUC"
"0361-476X",0.341914831815003,"SOCSCI","No","CONTEMP EDUC PSYCHOL"
"0362-1642",0.366021018485176,"SCI","No","ANNU REV PHARMACOL"
"0363-7425",0.340561586907558,"SOCSCI","No","ACAD MANAGE REV"
"0364-5134",0.364489334946196,"SCI","No","ANN NEUROL"
"0370-1573",0.183667406909192,"SCI","No","PHYS REP"
"0378-8733",0.381272212514043,"SOCSCI","No","SOC NETWORKS"
"0586-7614",0.268038440981512,"SOCSCI","No","SCHIZOPHRENIA BULL"
"0730-7659",0.343258302287243,"SOCSCI","No","BIRTH-ISS PERINAT C"
"0732-0582",0.346928637469037,"SCI","No","ANNU REV IMMUNOL"
"0732-183X",0.299606801284706,"SCI","No","J CLIN ONCOL"
"0734-9750",0.401287576269301,"SCI","No","BIOTECHNOL ADV"
"0735-1097",0.246052689050525,"SCI","No","J AM COLL CARDIOL"
"0737-4038",0.415468347014185,"SCI","No","MOL BIOL EVOL"
"0749-596X",0.350790144334621,"SOCSCI","Yes","J MEM LANG"
"0749-5978",0.354802414628469,"SOCSCI","No","ORGAN BEHAV HUM DEC"
"0882-7974",0.388578199507777,"SOCSCI","No","PSYCHOL AGING"
"0883-6612",0.346163507422383,"SOCSCI","No","ANN BEHAV MED"
"0883-9026",0.322975971060729,"SOCSCI","No","J BUS VENTURING"
"0885-579X",0.359519311167553,"SOCSCI","No","J PERS DISORD"
"0885-6230",0.364098652944454,"SOCSCI","No","INT J GERIATR PSYCH"
"0885-9701",0.297963502159747,"SOCSCI","No","J HEAD TRAUMA REHAB"
"0887-378X",0.38907711148156,"SOCSCI","No","MILBANK Q"
"0887-6924",0.29165910593407,"SCI","No","LEUKEMIA"
"0890-8567",0.350661875925668,"SOCSCI","No","J AM ACAD CHILD PSY"
"0890-9369",0.44224747691486,"SCI","No","GENE DEV"
"0893-133X",0.34919942774465,"SCI","No","NEUROPSYCHOPHARMACOL"
"0893-8512",0.383319915695658,"SCI","No","CLIN MICROBIOL REV"
"0893-9454",0.264515292092172,"SOCSCI","No","REV FINANC STUD"
"0894-3796",0.353238789564066,"SOCSCI","No","J ORGAN BEHAV"
"0894-4105",0.378012668044103,"SOCSCI","Yes","NEUROPSYCHOLOGY"
"0894-587X",0.373759148151461,"SOCSCI","No","ADM POLICY MENT HLTH"
"0895-3309",0.350984461476179,"SOCSCI","No","J ECON PERSPECT"
"0896-6273",0.457768970254505,"SCI","Yes","NEURON"
"0896-8411",0.391360929120812,"SCI","No","J AUTOIMMUN"
"0897-4756",0.39925131618877,"SCI","No","CHEM MATER"
"0898-929X",0.365977304188016,"SOCSCI","Yes","J COGNITIVE NEUROSCI"
"0907-4449",0.410644949316244,"SCI","No","ACTA CRYSTALLOGR D"
"0920-9964",0.307960974598199,"SOCSCI","No","SCHIZOPHR RES"
"0921-8009",0.316034173263829,"SOCSCI","No","ECOL ECON"
"0924-9338",0.279355078733517,"SOCSCI","No","EUR PSYCHIAT"
"0927-796X",0.441048064955846,"SCI","No","MAT SCI ENG R"
"0933-7954",0.338593394816889,"SOCSCI","No","SOC PSYCH PSYCH EPID"
"0935-9648",0.4193568400641,"SCI","No","ADV MATER"
"0942-5403",0.353203216776254,"SOCSCI","No","KINDH ENTWICKL"
"0951-7367",0.294917417229656,"SOCSCI","No","CURR OPIN PSYCHIATR"
"0952-7915",0.325669142598569,"SCI","No","CURR OPIN IMMUNOL"
"0954-5794",0.350216709851251,"SOCSCI","No","DEV PSYCHOPATHOL"
"0955-0674",0.345755387211036,"SCI","No","CURR OPIN CELL BIOL"
"0956-7976",0.384206139417669,"SOCSCI","No","PSYCHOL SCI"
"0958-1669",0.353845638092067,"SCI","No","CURR OPIN BIOTECH"
"0959-3780",0.481511099165061,"SOCSCI","No","GLOBAL ENVIRON CHANG"
"0959-440X",0.340117563913727,"SCI","No","CURR OPIN STRUC BIOL"
"0959-4752",0.320138761013779,"SOCSCI","No","LEARN INSTR"
"0960-9822",0.413635722692543,"SCI","No","CURR BIOL"
"0962-8924",0.3490299872652,"SCI","No","TRENDS CELL BIOL"
"0963-7214",0.339709508708601,"SOCSCI","No","CURR DIR PSYCHOL SCI"
"0964-4563",0.395316884004316,"SOCSCI","No","TOB CONTROL"
"0964-6906",0.420008683061283,"SCI","No","HUM MOL GENET"
"0965-2140",0.362897826462572,"SOCSCI","No","ADDICTION"
"0965-8564",0.36221943620606,"SOCSCI","No","TRANSPORT RES A-POL"
"0966-842X",0.370153549945846,"SCI","No","TRENDS MICROBIOL"
"0968-0004",0.362104453785691,"SCI","No","TRENDS BIOCHEM SCI"
"0969-5893",0.360466035447546,"SOCSCI","No","CLIN PSYCHOL-SCI PR"
"1001-0602",0.466727030228326,"SCI","No","CELL RES"
"1018-8827",0.395181616468053,"SOCSCI","No","EUR CHILD ADOLES PSY"
"1040-3590",0.382862732746892,"SOCSCI","No","PSYCHOL ASSESSMENT"
"1040-4651",0.451545552711721,"SCI","No","PLANT CELL"
"1040-7308",0.345586206526026,"SOCSCI","Yes","NEUROPSYCHOL REV"
"1043-2760",0.365768416205408,"SCI","No","TRENDS ENDOCRIN MET"
"1044-3983",0.319455183638719,"SOCSCI","No","EPIDEMIOLOGY"
"1046-6673",0.341907450712255,"SCI","No","J AM SOC NEPHROL"
"1047-7039",0.380394149295933,"SOCSCI","No","ORGAN SCI"
"1047-840X",0.327184172884878,"SOCSCI","No","PSYCHOL INQ"
"1048-9843",0.332152010819926,"SOCSCI","No","LEADERSHIP QUART"
"1050-8392",0.357487220987681,"SOCSCI","No","J RES ADOLESCENCE"
"1052-9276",0.384810245453652,"SCI","No","REV MED VIROL"
"1054-139X",0.300427326165676,"SOCSCI","No","J ADOLESCENT HEALTH"
"1057-9249",0.357170079843885,"SOCSCI","No","PSYCHO-ONCOLOGY"
"1058-4838",0.367555501296259,"SCI","No","CLIN INFECT DIS"
"1059-6011",0.334285482758122,"SOCSCI","No","GROUP ORGAN MANAGE"
"1060-1538",0.286779035165979,"SOCSCI","No","EVOL ANTHROPOL"
"1061-4036",0.4567681536946,"SCI","No","NAT GENET"
"1062-7995",0.346313010823451,"SCI","No","PROG PHOTOVOLTAICS"
"1063-5157",0.422575660723944,"SCI","No","SYST BIOL"
"1064-7481",0.381983451764494,"SOCSCI","No","AM J GERIAT PSYCHIAT"
"1066-5099",0.433490346050125,"SCI","No","STEM CELLS"
"1067-3229",0.355415717033806,"SOCSCI","No","HARVARD REV PSYCHIAT"
"1067-5027",0.392460327195015,"SOCSCI","No","J AM MED INFORM ASSN"
"1070-5511",0.39606329170498,"SOCSCI","No","STRUCT EQU MODELING"
"1073-449X",0.389217031866553,"SCI","No","AM J RESP CRIT CARE"
"1074-7427",0.386779017653907,"SOCSCI","No","NEUROBIOL LEARN MEM"
"1074-7613",0.437941626726389,"SCI","No","IMMUNITY"
"1076-8971",0.330392866776582,"SOCSCI","No","PSYCHOL PUBLIC POL L"
"1076-8998",0.353870120200083,"SOCSCI","No","J OCCUP HEALTH PSYCH"
"1077-5587",0.366337790185481,"SOCSCI","No","MED CARE RES REV"
"1077-5595",0.367851039037681,"SOCSCI","No","CHILD MALTREATMENT"
"1078-0432",0.379333171673806,"SCI","No","CLIN CANCER RES"
"1078-8956",0.424945353672066,"SCI","No","NAT MED"
"1079-5006",0.377733249221729,"SOCSCI","No","J GERONTOL A-BIOL"
"1079-5014",0.36126345793602,"SOCSCI","No","J GERONTOL B-PSYCHOL"
"1081-0706",0.352167026898763,"SCI","No","ANNU REV CELL DEV BI"
"1082-989X",0.421805878504018,"SOCSCI","No","PSYCHOL METHODS"
"1083-3021",0.373289874651514,"SCI","No","J MAMMARY GLAND BIOL"
"1087-0156",0.467003237439506,"SCI","No","NAT BIOTECHNOL"
"1087-0792",0.349544916820094,"SCI","No","SLEEP MED REV"
"1087-2914",0.346805394637298,"SOCSCI","No","AIDS PATIENT CARE ST"
"1088-8683",0.375282770953545,"SOCSCI","No","PERS SOC PSYCHOL REV"
"1088-9051",0.425799759786536,"SCI","No","GENOME RES"
"1090-5138",0.377870981106776,"SOCSCI","No","EVOL HUM BEHAV"
"1090-7165",0.371030601606231,"SOCSCI","No","AIDS BEHAV"
"1090-9516",0.341666617261026,"SOCSCI","No","J WORLD BUS"
"1091-4269",0.37703985211569,"SOCSCI","No","DEPRESS ANXIETY"
"1092-2172",0.436614477564392,"SCI","No","MICROBIOL MOL BIOL R"
"1094-4281",0.343844528139047,"SOCSCI","No","ORGAN RES METHODS"
"1094-6705",0.368802964159502,"SOCSCI","No","J SERV RES-US"
"1096-4037",0.516034392575636,"SOCSCI","No","CLIN CHILD FAM PSYCH"
"1097-2765",0.419857510894331,"SCI","No","MOL CELL"
"1097-6256",0.413732193939805,"SCI","Yes","NAT NEUROSCI"
"1121-189X",0.340935156800259,"SOCSCI","No","EPIDEMIOL PSICHIAT S"
"1170-7690",0.400571171695591,"SOCSCI","No","PHARMACOECONOMICS"
"1180-4882",0.395701491181455,"SOCSCI","No","J PSYCHIATR NEUROSCI"
"1350-9047",0.434514857237397,"SCI","No","CELL DEATH DIFFER"
"1350-9462",0.320392818422181,"SCI","No","PROG RETIN EYE RES"
"1355-4786",0.369272003768435,"SCI","No","HUM REPROD UPDATE"
"1359-4184",0.383445342378469,"SCI","No","MOL PSYCHIATR"
"1359-6101",0.381166705724011,"SCI","No","CYTOKINE GROWTH F R"
"1360-1385",0.432978247933519,"SCI","No","TRENDS PLANT SCI"
"1363-755X",0.38808341800125,"SOCSCI","No","DEVELOPMENTAL SCI"
"1364-6613",0.383456577151405,"SOCSCI","Yes","TRENDS COGN SCI"
"1367-5931",0.363575726517132,"SCI","No","CURR OPIN CHEM BIOL"
"1368-7646",0.376488873308131,"SCI","No","DRUG RESIST UPDATE"
"1369-5266",0.348273703477347,"SCI","No","CURR OPIN PLANT BIOL"
"1369-5274",0.353143233943058,"SCI","No","CURR OPIN MICROBIOL"
"1389-5567",0.419142030623252,"SCI","No","J PHOTOCH PHOTOBIO C"
"1433-7851",0.368446441698885,"SCI","No","ANGEW CHEM INT EDIT"
"1461-023X",0.426593978534617,"SCI","No","ECOL LETT"
"1464-7931",0.471733151187621,"SCI","No","BIOL REV"
"1465-7392",0.459865205845557,"SCI","No","NAT CELL BIOL"
"1468-2702",0.356819408380929,"SOCSCI","No","J ECON GEOGR"
"1470-2045",0.362605933465723,"SCI","No","LANCET ONCOL"
"1471-003X",0.480830039650421,"SCI","Yes","NAT REV NEUROSCI"
"1471-0056",0.400795038535502,"SCI","No","NAT REV GENET"
"1471-0072",0.338235542921389,"SCI","No","NAT REV MOL CELL BIO"
"1471-4906",0.373112795027388,"SCI","No","TRENDS IMMUNOL"
"1471-4914",0.348376275787733,"SCI","No","TRENDS MOL MED"
"1473-3099",0.409971620815159,"SCI","No","LANCET INFECT DIS"
"1474-1733",0.361995807667086,"SCI","No","NAT REV IMMUNOL"
"1474-175X",0.381308486362884,"SCI","No","NAT REV CANCER"
"1474-1776",0.451290371801657,"SCI","No","NAT REV DRUG DISCOV"
"1474-4422",0.332572542338933,"SCI","No","LANCET NEUROL"
"1474-7596",0.47236744860706,"SCI","No","GENOME BIOL"
"1476-1122",0.387274472807841,"SCI","No","NAT MATER"
"1523-9829",0.427939990387635,"SCI","No","ANNU REV BIOMED ENG"
"1526-5161",0.251707797665963,"SOCSCI","No","AM J BIOETHICS"
"1527-8204",0.351179289692458,"SCI","No","ANNU REV GENOM HUM G"
"1528-3542",0.407866576746348,"SOCSCI","No","EMOTION"
"1529-2908",0.416220561459827,"SCI","No","NAT IMMUNOL"
"1530-6984",0.405521007037537,"SCI","No","NANO LETT"
"1531-7331",0.366306016119775,"SCI","No","ANNU REV MATER RES"
"1534-5807",0.441662529087735,"SCI","No","DEV CELL"
"1535-6108",0.418481946634308,"SCI","No","CANCER CELL"
"1537-260X",0.330969806519419,"SOCSCI","No","ACAD MANAG LEARN EDU"
"1537-4416",0.396540849016279,"SOCSCI","No","J CLIN CHILD ADOLESC"
"1540-9295",0.450783875311811,"SCI","No","FRONT ECOL ENVIRON"
"1543-5008",0.366307169385356,"SCI","No","ANNU REV PLANT BIOL"
"1543-592X",0.437044143990567,"SCI","No","ANNU REV ECOL EVOL S"
"1543-5938",0.410038448654866,"SOCSCI","No","ANNU REV ENV RESOUR"
"1545-7885",0.550908072288752,"SCI","No","PLOS BIOL"
"1545-9993",0.445893090185572,"SCI","No","NAT STRUCT MOL BIOL"
"1548-5943",0.353065084152041,"SOCSCI","No","ANNU REV CLIN PSYCHO"
"1548-7091",0.461634282034278,"SCI","No","NAT METHODS"
"1550-4131",0.457124087493776,"SCI","No","CELL METAB"
"1551-6709",0.412959304246072,"CogSci","No","COGN SCI"
"1552-4450",0.470269103003611,"SCI","No","NAT CHEM BIOL"
"1552-5260",0.389630206803464,"SCI","No","ALZHEIMERS DEMENT"
"1553-7404",0.428356100232055,"SCI","No","PLOS GENET"
"1554-8627",0.427420434237569,"SCI","No","AUTOPHAGY"
